"","gens","D_Female_Pred","D_D_Allele_Pred","D_W_Allele_Pred","D_R_Allele_Pred","D_B_Allele_Pred","I_Female_Pred","I_D_Allele_Pred","I_W_Allele_Pred","I_R_Allele_Pred","I_B_Allele_Pred"
"31",31,0.483591228255733,0.0167439142535505,0.776135407054669,0.142027328065655,0.0650933506261255,0.437061749007503,0.0827984466470858,0.637468896060626,0.226329946584303,0.0534027107079852
"32",32,0.484762677902645,0.0155019356441859,0.775886669692663,0.144671988160415,0.0639394065027367,0.44054818818308,0.0798915945143724,0.623819969830393,0.242809363465924,0.0534790721893108
"33",33,0.485838746048166,0.0143616297608257,0.775692897199675,0.147163027358868,0.0627824456806315,0.443875932587216,0.0770761611069335,0.610146536786275,0.25936527358456,0.0534120285222316
"34",34,0.486827994245793,0.0133139610930476,0.775548932377241,0.149508874607733,0.0616282319219792,0.447042919904712,0.0743547989523757,0.596504648069203,0.275924527130243,0.0532160258481781
"35",35,0.487738173739061,0.0123507289740875,0.775450065416657,0.151717699147585,0.0604815064616697,0.45004899330632,0.0717291439710215,0.582945418849431,0.292419969552592,0.0529054676269557
"36",36,0.488576300050194,0.0114644948499516,0.775391996443519,0.153797370077907,0.0593461386286221,0.452895634673998,0.0691999260667304,0.569514706270703,0.308790973198981,0.0524943944635853
"37",37,0.489348722246069,0.0106485137181703,0.775370800558454,0.155755429238642,0.0582252564847338,0.455585700223862,0.0667670815628316,0.556252974194919,0.324983705707061,0.0519962385351886
"38",38,0.490061186755089,0.00989667020948723,0.775382895458555,0.157599074696469,0.0571213596354889,0.458123167603959,0.064429863651896,0.543195315969911,0.340951174152568,0.0514236462256247
"39",39,0.490718895799575,0.009203419503966,0.775425011615427,0.159335152586112,0.0560364162944953,0.460512900894485,0.0621869479840422,0.530371605098283,0.35665308642712,0.0507883604905549
"40",40,0.491326560636139,0.00856373307681463,0.775494164917929,0.16097015545446,0.0549719465507965,0.462760437619117,0.0600365313726134,0.517806744400008,0.372055570668234,0.0501011535591454
"41",41,0.491888449877534,0.00797304913699643,0.775587631647895,0.162510225593025,0.0539290936220826,0.464871799947849,0.0579764223245689,0.50552098644325,0.387130790697583,0.0493718005345975
"42",42,0.492408433216363,0.00742722753662814,0.775702925636147,0.163961162128691,0.052908684698534,0.466853330744695,0.0560041226992043,0.493530301125785,0.401856491166695,0.0486090850083156
"43",43,0.4928900208935,0.00692250887839566,0.775837777437747,0.165328430880207,0.0519112828036505,0.468711553965087,0.054116900267888,0.481846769868907,0.416215501144887,0.0478208287183178
"44",44,0.493336399259403,0.00645547752199412,0.775990115365246,0.166617176184926,0.0509372309278332,0.470453058095002,0.052311852301457,0.470478989582163,0.430195219737926,0.0470139383784539
"45",45,0.493750462770057,0.00602302818160772,0.77615804822354,0.167832234062729,0.0499866895321233,0.472084400794197,0.0505859605663617,0.459432473114592,0.443787102371337,0.0461944639477093
"46",46,0.494134842745265,0.00562233580924764,0.77633984959792,0.168978146217301,0.0490596683755316,0.473612032604904,0.0489361382822703,0.448710036158744,0.456986161850644,0.045367663708341
"47",47,0.494491933198203,0.0052508284693671,0.776533943556467,0.170059174483673,0.0481560534904934,0.47504223746278,0.047359269698817,0.438312163422597,0.46979049435555,0.0445380725230364
"48",48,0.494823914023754,0.00490616292566173,0.776738891638224,0.171079315419217,0.0472756300168973,0.476381087752761,0.045852243002222,0.428237349292802,0.482200837188456,0.0437095705165203
"49",49,0.495132771810629,0.00458620267925613,0.776953381009005,0.172042314806681,0.0464181015050586,0.477634411749155,0.0444119772764538,0.418482410182102,0.494220162374667,0.0428854501667776
"50",50,0.495420318519676,0.00428899821709719,0.777176213676817,0.172951681895274,0.0455831062108115,0.478807771435056,0.0430354442292018,0.409042767312258,0.505853308060056,0.0420684803984846
"51",51,0.495688208248788,0.00401276924930262,0.777406296668542,0.173810703251815,0.0447702308303399,0.479906448885788,0.0417196853589858,0.399912699875378,0.517106648008588,0.0412609667570478
"52",52,0.495937952283891,0.00375588873376044,0.777642633078524,0.174622456130544,0.0439790220571713,0.480935439605803,0.0404618251931895,0.39108556939209,0.527987798294333,0.0404648071203881
"53",53,0.496170932615856,0.00351686850499785,0.777884313908091,0.175389821299218,0.0432089962876931,0.481899451414715,0.0392590811730711,0.382554016697133,0.538505359436578,0.0396815426932185
"54",54,0.496388414084996,0.00329434634196473,0.778130510622692,0.176115495281873,0.0424596477534702,0.482802907676498,0.0381087707048977,0.3743101333817,0.548668691672699,0.0389124042407025
"55",55,0.496591555298151,0.00308707432576251,0.778380468360334,0.176802001996416,0.0417304553174875,0.483649953850612,0.0370083158392082,0.36634560975255,0.558487720738714,0.0381583536695278
"56",56,0.496781418448142,0.0028939083534325,0.778633499731366,0.177451703778923,0.0410208881362779,0.484444466511342,0.035955245984879,0.358651861469983,0.567972771377793,0.0374201211673443
